date,value,word,slang_year
2012-01,18,yolo,2020-01-01
2012-02,27,yolo,2020-01-01
2012-03,55,yolo,2020-01-01
2012-04,93,yolo,2020-01-01
2012-05,64,yolo,2020-01-01
2012-06,100,yolo,2020-01-01
2012-07,96,yolo,2020-01-01
2012-08,65,yolo,2020-01-01
2012-09,25,yolo,2020-01-01
2012-10,15,yolo,2020-01-01
2012-11,32,yolo,2020-01-01
2012-12,30,yolo,2020-01-01
2013-01,17,yolo,2020-01-01
2013-02,9,yolo,2020-01-01
2013-03,10,yolo,2020-01-01
2013-04,16,yolo,2020-01-01
2013-05,11,yolo,2020-01-01
2013-06,7,yolo,2020-01-01
2013-07,7,yolo,2020-01-01
2013-08,9,yolo,2020-01-01
2013-09,10,yolo,2020-01-01
2013-10,6,yolo,2020-01-01
2013-11,5,yolo,2020-01-01
2013-12,6,yolo,2020-01-01
2014-01,7,yolo,2020-01-01
2014-02,5,yolo,2020-01-01
2014-03,5,yolo,2020-01-01
2014-04,5,yolo,2020-01-01
2014-05,5,yolo,2020-01-01
2014-06,4,yolo,2020-01-01
2014-07,4,yolo,2020-01-01
2014-08,3,yolo,2020-01-01
2014-09,3,yolo,2020-01-01
2014-10,3,yolo,2020-01-01
2014-11,3,yolo,2020-01-01
2014-12,3,yolo,2020-01-01
2015-01,3,yolo,2020-01-01
2015-02,5,yolo,2020-01-01
2015-03,2,yolo,2020-01-01
2015-04,3,yolo,2020-01-01
2015-05,3,yolo,2020-01-01
2015-06,2,yolo,2020-01-01
2015-07,3,yolo,2020-01-01
2015-08,3,yolo,2020-01-01
2015-09,2,yolo,2020-01-01
2015-10,3,yolo,2020-01-01
2015-11,3,yolo,2020-01-01
2015-12,2,yolo,2020-01-01
2016-01,2,yolo,2020-01-01
2016-02,2,yolo,2020-01-01
2016-03,2,yolo,2020-01-01
2016-04,1,yolo,2020-01-01
2016-05,1,yolo,2020-01-01
2016-06,2,yolo,2020-01-01
2016-07,1,yolo,2020-01-01
2016-08,1,yolo,2020-01-01
2016-09,1,yolo,2020-01-01
2016-10,2,yolo,2020-01-01
2016-11,1,yolo,2020-01-01
2016-12,1,yolo,2020-01-01
2017-01,1,yolo,2020-01-01
2017-02,1,yolo,2020-01-01
2017-03,1,yolo,2020-01-01
2017-04,2,yolo,2020-01-01
2017-05,1,yolo,2020-01-01
2017-06,1,yolo,2020-01-01
2017-07,1,yolo,2020-01-01
2017-08,1,yolo,2020-01-01
2017-09,1,yolo,2020-01-01
2017-10,1,yolo,2020-01-01
2017-11,1,yolo,2020-01-01
2017-12,1,yolo,2020-01-01
2018-01,1,yolo,2020-01-01
2018-02,1,yolo,2020-01-01
2018-03,1,yolo,2020-01-01
2018-04,1,yolo,2020-01-01
2018-05,1,yolo,2020-01-01
2018-06,1,yolo,2020-01-01
2018-07,1,yolo,2020-01-01
2018-08,1,yolo,2020-01-01
2018-09,1,yolo,2020-01-01
2018-10,1,yolo,2020-01-01
2018-11,1,yolo,2020-01-01
2018-12,1,yolo,2020-01-01
2019-01,1,yolo,2020-01-01
2019-02,1,yolo,2020-01-01
2019-03,1,yolo,2020-01-01
2019-04,1,yolo,2020-01-01
2019-05,2,yolo,2020-01-01
2019-06,2,yolo,2020-01-01
2019-07,1,yolo,2020-01-01
2019-08,2,yolo,2020-01-01
2019-09,2,yolo,2020-01-01
2019-10,2,yolo,2020-01-01
2019-11,2,yolo,2020-01-01
2019-12,1,yolo,2020-01-01
2020-01,2,yolo,2020-01-01
2020-02,2,yolo,2020-01-01
2020-03,2,yolo,2020-01-01
2020-04,2,yolo,2020-01-01
2020-05,2,yolo,2020-01-01
2020-06,2,yolo,2020-01-01
2020-07,2,yolo,2020-01-01
2020-08,2,yolo,2020-01-01
2020-09,2,yolo,2020-01-01
2020-10,1,yolo,2020-01-01
2020-11,1,yolo,2020-01-01
2020-12,2,yolo,2020-01-01
2021-01,1,yolo,2020-01-01
2021-02,2,yolo,2020-01-01
2021-03,2,yolo,2020-01-01
2021-04,2,yolo,2020-01-01
2021-05,1,yolo,2020-01-01
2021-06,1,yolo,2020-01-01
2021-07,1,yolo,2020-01-01
2021-08,1,yolo,2020-01-01
2021-09,1,yolo,2020-01-01
2021-10,1,yolo,2020-01-01
2021-11,1,yolo,2020-01-01
2021-12,1,yolo,2020-01-01
2022-01,1,yolo,2020-01-01
2022-02,2,yolo,2020-01-01
2022-03,2,yolo,2020-01-01
2022-04,2,yolo,2020-01-01
2022-05,2,yolo,2020-01-01
2022-06,1,yolo,2020-01-01
2022-07,1,yolo,2020-01-01
2004-01,0,bae,2018-01-01
2004-02,0,bae,2018-01-01
2004-03,0,bae,2018-01-01
2004-04,0,bae,2018-01-01
2004-05,0,bae,2018-01-01
2004-06,0,bae,2018-01-01
2004-07,0,bae,2018-01-01
2004-08,0,bae,2018-01-01
2004-09,0,bae,2018-01-01
2004-10,0,bae,2018-01-01
2004-11,0,bae,2018-01-01
2004-12,0,bae,2018-01-01
2005-01,0,bae,2018-01-01
2005-02,1,bae,2018-01-01
2005-03,0,bae,2018-01-01
2005-04,0,bae,2018-01-01
2005-05,0,bae,2018-01-01
2005-06,0,bae,2018-01-01
2005-07,0,bae,2018-01-01
2005-08,0,bae,2018-01-01
2005-09,0,bae,2018-01-01
2005-10,0,bae,2018-01-01
2005-11,0,bae,2018-01-01
2005-12,0,bae,2018-01-01
2006-01,0,bae,2018-01-01
2006-02,0,bae,2018-01-01
2006-03,0,bae,2018-01-01
2006-04,0,bae,2018-01-01
2006-05,0,bae,2018-01-01
2006-06,0,bae,2018-01-01
2006-07,0,bae,2018-01-01
2006-08,0,bae,2018-01-01
2006-09,0,bae,2018-01-01
2006-10,0,bae,2018-01-01
2006-11,0,bae,2018-01-01
2006-12,0,bae,2018-01-01
2007-01,0,bae,2018-01-01
2007-02,0,bae,2018-01-01
2007-03,0,bae,2018-01-01
2007-04,0,bae,2018-01-01
2007-05,0,bae,2018-01-01
2007-06,0,bae,2018-01-01
2007-07,0,bae,2018-01-01
2007-08,0.5,bae,2018-01-01
2007-09,0,bae,2018-01-01
2007-10,0,bae,2018-01-01
2007-11,0.5,bae,2018-01-01
2007-12,0,bae,2018-01-01
2008-01,0,bae,2018-01-01
2008-02,0,bae,2018-01-01
2008-03,0,bae,2018-01-01
2008-04,0,bae,2018-01-01
2008-05,0,bae,2018-01-01
2008-06,0,bae,2018-01-01
2008-07,0.5,bae,2018-01-01
2008-08,0,bae,2018-01-01
2008-09,0,bae,2018-01-01
2008-10,0,bae,2018-01-01
2008-11,0.5,bae,2018-01-01
2008-12,0.5,bae,2018-01-01
2009-01,0,bae,2018-01-01
2009-02,0,bae,2018-01-01
2009-03,0.5,bae,2018-01-01
2009-04,0.5,bae,2018-01-01
2009-05,0.5,bae,2018-01-01
2009-06,0.5,bae,2018-01-01
2009-07,0.5,bae,2018-01-01
2009-08,0,bae,2018-01-01
2009-09,0.5,bae,2018-01-01
2009-10,0.5,bae,2018-01-01
2009-11,0.5,bae,2018-01-01
2009-12,0.5,bae,2018-01-01
2010-01,0,bae,2018-01-01
2010-02,0.5,bae,2018-01-01
2010-03,0.5,bae,2018-01-01
2010-04,0,bae,2018-01-01
2010-05,0,bae,2018-01-01
2010-06,0.5,bae,2018-01-01
2010-07,0.5,bae,2018-01-01
2010-08,1,bae,2018-01-01
2010-09,0.5,bae,2018-01-01
2010-10,0.5,bae,2018-01-01
2010-11,1,bae,2018-01-01
2010-12,0.5,bae,2018-01-01
2011-01,1,bae,2018-01-01
2011-02,0.5,bae,2018-01-01
2011-03,1,bae,2018-01-01
2011-04,1,bae,2018-01-01
2011-05,1,bae,2018-01-01
2011-06,1,bae,2018-01-01
2011-07,1,bae,2018-01-01
2011-08,1,bae,2018-01-01
2011-09,1,bae,2018-01-01
2011-10,1,bae,2018-01-01
2011-11,1,bae,2018-01-01
2011-12,1,bae,2018-01-01
2012-01,1,bae,2018-01-01
2012-02,0.5,bae,2018-01-01
2012-03,1,bae,2018-01-01
2012-04,1,bae,2018-01-01
2012-05,1,bae,2018-01-01
2012-06,0.5,bae,2018-01-01
2012-07,1,bae,2018-01-01
2012-08,1,bae,2018-01-01
2012-09,1,bae,2018-01-01
2012-10,1,bae,2018-01-01
2012-11,1,bae,2018-01-01
2012-12,1,bae,2018-01-01
2013-01,1,bae,2018-01-01
2013-02,1,bae,2018-01-01
2013-03,1,bae,2018-01-01
2013-04,1,bae,2018-01-01
2013-05,2,bae,2018-01-01
2013-06,8,bae,2018-01-01
2013-07,9,bae,2018-01-01
2013-08,9,bae,2018-01-01
2013-09,7,bae,2018-01-01
2013-10,7,bae,2018-01-01
2013-11,12,bae,2018-01-01
2013-12,14,bae,2018-01-01
2014-01,20,bae,2018-01-01
2014-02,23,bae,2018-01-01
2014-03,34,bae,2018-01-01
2014-04,41,bae,2018-01-01
2014-05,55,bae,2018-01-01
2014-06,79,bae,2018-01-01
2014-07,100,bae,2018-01-01
2014-08,79,bae,2018-01-01
2014-09,91,bae,2018-01-01
2014-10,92,bae,2018-01-01
2014-11,94,bae,2018-01-01
2014-12,89,bae,2018-01-01
2015-01,90,bae,2018-01-01
2015-02,90,bae,2018-01-01
2015-03,86,bae,2018-01-01
2015-04,51,bae,2018-01-01
2015-05,39,bae,2018-01-01
2015-06,41,bae,2018-01-01
2015-07,46,bae,2018-01-01
2015-08,44,bae,2018-01-01
2015-09,42,bae,2018-01-01
2015-10,48,bae,2018-01-01
2015-11,40,bae,2018-01-01
2015-12,48,bae,2018-01-01
2016-01,38,bae,2018-01-01
2016-02,41,bae,2018-01-01
2016-03,29,bae,2018-01-01
2016-04,31,bae,2018-01-01
2016-05,28,bae,2018-01-01
2016-06,21,bae,2018-01-01
2016-07,19,bae,2018-01-01
2016-08,13,bae,2018-01-01
2016-09,18,bae,2018-01-01
2016-10,18,bae,2018-01-01
2016-11,16,bae,2018-01-01
2016-12,17,bae,2018-01-01
2017-01,16,bae,2018-01-01
2017-02,15,bae,2018-01-01
2017-03,15,bae,2018-01-01
2017-04,13,bae,2018-01-01
2017-05,14,bae,2018-01-01
2017-06,12,bae,2018-01-01
2017-07,11,bae,2018-01-01
2017-08,10,bae,2018-01-01
2017-09,9,bae,2018-01-01
2017-10,9,bae,2018-01-01
2017-11,10,bae,2018-01-01
2017-12,11,bae,2018-01-01
2018-01,10,bae,2018-01-01
2018-02,12,bae,2018-01-01
2018-03,9,bae,2018-01-01
2018-04,9,bae,2018-01-01
2018-05,9,bae,2018-01-01
2018-06,8,bae,2018-01-01
2018-07,9,bae,2018-01-01
2018-08,7,bae,2018-01-01
2018-09,7,bae,2018-01-01
2018-10,6,bae,2018-01-01
2018-11,5,bae,2018-01-01
2018-12,6,bae,2018-01-01
2019-01,7,bae,2018-01-01
2019-02,7,bae,2018-01-01
2019-03,5,bae,2018-01-01
2019-04,5,bae,2018-01-01
2019-05,4,bae,2018-01-01
2019-06,5,bae,2018-01-01
2019-07,4,bae,2018-01-01
2019-08,4,bae,2018-01-01
2019-09,4,bae,2018-01-01
2019-10,5,bae,2018-01-01
2019-11,4,bae,2018-01-01
2019-12,5,bae,2018-01-01
2020-01,6,bae,2018-01-01
2020-02,8,bae,2018-01-01
2020-03,5,bae,2018-01-01
2020-04,6,bae,2018-01-01
2020-05,5,bae,2018-01-01
2020-06,4,bae,2018-01-01
2020-07,5,bae,2018-01-01
2020-08,4,bae,2018-01-01
2020-09,3,bae,2018-01-01
2020-10,4,bae,2018-01-01
2020-11,4,bae,2018-01-01
2020-12,4,bae,2018-01-01
2021-01,5,bae,2018-01-01
2021-02,5,bae,2018-01-01
2021-03,3,bae,2018-01-01
2021-04,4,bae,2018-01-01
2021-05,4,bae,2018-01-01
2021-06,4,bae,2018-01-01
2021-07,4,bae,2018-01-01
2021-08,4,bae,2018-01-01
2021-09,4,bae,2018-01-01
2021-10,4,bae,2018-01-01
2021-11,4,bae,2018-01-01
2021-12,4,bae,2018-01-01
2022-01,4,bae,2018-01-01
2022-02,4,bae,2018-01-01
2022-03,3,bae,2018-01-01
2022-04,3,bae,2018-01-01
2022-05,3,bae,2018-01-01
2022-06,4,bae,2018-01-01
2022-07,4,bae,2018-01-01
