,crossword_date,answers,clues,crossword_year
91,2022-01-02,RENO,Final Fantasy character who shares his name with a U.S. city,2022
92,2022-01-02,STRUT,"Sashay, say",2022
93,2022-01-02,IDA,___ B. Wells Society for Investigative Reporting,2022
94,2022-01-02,LOADS,A bunch,2022
95,2022-01-02,MARINECORPS,PEAR + CRIMSON = fighting group,2022
96,2022-01-02,FAD,"Bottle flipping in the mid-2010s, e.g.",2022
97,2022-01-02,ERS,"Hospital settings, briefly",2022
98,2022-01-02,FORUM,Poster board?,2022
99,2022-01-02,MIN,Max's opposite,2022
100,2022-01-02,TREE,Bo or bonsai,2022
101,2022-01-02,MENTALIMAGE,LIME + MAGENTA = visualization,2022
102,2022-01-02,YAWN,"[""You're still talking?""]",2022
103,2022-01-02,GPA,Subj. of some collegiate bragging,2022
104,2022-01-02,AIDAN,Actor Gallagher,2022
105,2022-01-02,ERR,Go astray,2022
106,2022-01-02,SRO,"""Herc could stop a show / Point him at a monster and you're talking ___"" (lyric in Disney's ""Hercules"")",2022
107,2022-01-02,STARCLUSTER,RUST + SCARLET = celestial group,2022
108,2022-01-02,PAIGE,"Daughter in the comic strip ""FoxTrot""",2022
109,2022-01-02,TEA,Cha chaan teng serving,2022
110,2022-01-02,HOLES,Plot problems,2022
111,2022-01-02,BALD,Dis-tressed,2022
112,2022-01-02,PEACEMARCH,CREAM + PEACH = nonviolent protest,2022
113,2022-01-02,ELMS,Plantings lining the Literary Walk in Central Park,2022
114,2022-01-02,POLE,Skier's accessory,2022
115,2022-01-02,LITHO,"Many an art print, briefly",2022
116,2022-01-02,IMOK,"""No injuries here""",2022
117,2022-01-02,ADASTRA,2019 space film,2022
118,2022-01-02,BETAS,B's in math?,2022
119,2022-01-02,STAN,"Devotee, informally",2022
120,2022-01-02,FAR,A ways,2022
121,2022-01-02,HOTCEREAL,TEAL + OCHER = breakfast option,2022
122,2022-01-02,LETSOFF,Absolves,2022
123,2022-01-02,ELSIE,"Fisher of 2018's ""Eighth Grade""",2022
124,2022-01-02,SILO,One towering over the rest of the field?,2022
125,2022-01-02,MARA,Actress Rooney,2022
126,2022-01-02,MEL,"___ Giedroyc, co-host of ""The Great British Bake Off""",2022
127,2022-01-02,U.K.,Nappy,2022
128,2022-01-02,VEGETARIANMENU,MAUVE + TANGERINE = restaurant handout,2022
129,2022-01-02,ELAND,African antelope,2022
130,2022-01-02,INAPANIC,Frenzied,2022
131,2022-01-02,CIRCE,Goddess who turned Picus into a woodpecker,2022
132,2022-01-02,ADDS,Throws in,2022
133,2022-01-02,CANARDS,Unbelievable rumors,2022
134,2022-01-02,EASES,Takes the edge off,2022
135,2022-01-02,PARIS,2024 Olympics host,2022
136,2022-01-02,AGENT,Deal maker,2022
137,2022-01-02,PRIDEPARADE,Christopher Street Day celebration,2022
138,2022-01-02,EEN,"Still, for a poet",2022
139,2022-01-02,REDTAGSALE,Outlet store come-on,2022
140,2022-01-02,SORE,Miffed,2022
141,2022-01-02,ORC,Fantasy creature whose name is an anagram of another fantasy creature,2022
142,2022-01-02,LEA,Rural setting,2022
143,2022-01-02,AWL,What's the point of leatherwork?,2022
144,2022-01-02,NOVICE,Newcomer,2022
145,2022-01-02,GRECO,Artist El ___,2022
146,2022-01-02,EDSEL,"""The motor industry's Titanic,"" per a 1994 book",2022
147,2022-01-02,EGO,"Nwodim of ""S.N.L.""",2022
148,2022-01-02,LOSERS,Ne'er-do-wells,2022
149,2022-01-02,STIR,"Keep from sticking, say",2022
150,2022-01-02,AARONBURR,"""Wait for It"" singer in ""Hamilton""",2022
151,2022-01-02,FEND,Stave (off),2022
152,2022-01-02,TIDIEDUP,"Got ready for guests, in a way",2022
153,2022-01-02,EURO,Prefix with centric or vision,2022
154,2022-01-02,SEXTETS,"Volleyball teams, e.g.",2022
155,2022-01-02,SLIDON,Lost traction while driving over,2022
156,2022-01-02,WORM,Sinuous dance that emulates a creature,2022
157,2022-01-02,DATES,"3/4 and 7/8, e.g.",2022
158,2022-01-02,OVER,Done,2022
159,2022-01-02,GRR,Hound sound,2022
160,2022-01-02,ATE,Homophone of the sum of this clue number's digits,2022
161,2022-01-02,FLED,Took off,2022
162,2022-01-02,ANTONY,"Who says ""That I did love thee, Caesar, O, 'tis true""",2022
163,2022-01-02,CEDAR,Wood in some incense,2022
164,2022-01-02,ABASE,Bring down,2022
165,2022-01-02,SERUM,Truth ___,2022
166,2022-01-02,ANIMA,"""Jung at heart"" persona?",2022
167,2022-01-02,GIFT,Talent,2022
168,2022-01-02,NORMAL,Par for the course,2022
169,2022-01-02,RARIN,___ to go,2022
170,2022-01-02,Abbr.,"Chemistry, for one",2022
171,2022-01-02,MOLAR,Grinding tooth,2022
172,2022-01-02,EMERGE,Come out,2022
173,2022-01-02,FADED,"High on marijuana, in slang",2022
174,2022-01-02,EGRESS,Way to go,2022
175,2022-01-02,NASAL,"Twangy, as a singer",2022
176,2022-01-02,TITLE,"""Us,"" ""It"" or ""Her""",2022
177,2022-01-02,GEICO,Progressive alternative,2022
178,2022-01-02,ASTRONOMERS,Ones doing stellar work,2022
179,2022-01-02,WRECK,Total,2022
180,2022-01-02,NOAH,One arranging for flood insurance?,2022
181,2022-01-02,PCS,Parts of many gaming rigs,2022
182,2022-01-02,REMITTANCE,Payment sent,2022
183,2022-01-02,SHEAFED,"In a bundle, as documents",2022
184,2022-01-02,TOLDALIE,Wasn't straight,2022
185,2022-01-02,ALMARSALA,"Culinary phrase after ""pollo"" or ""scaloppine""",2022
186,2022-01-02,UBOATS,Vessels hunted by K-ships,2022
187,2022-01-02,PETAL,Element in many henna designs,2022
188,2022-01-02,AAHS,"""I'm in heaven!"" sounds",2022
189,2022-01-02,PITA,Doner kebab bread,2022
190,2022-01-02,AMAS,Latin 101 word,2022
191,2022-01-02,PRO,For,2022
192,2022-01-02,LEE,Film director ___ Isaac Chung,2022
193,2022-01-02,THEEND,"""That's it""",2022
194,2022-01-02,BROGAN,Heavy footwear choice,2022
195,2022-01-02,SERA,Evening in Italy,2022
196,2022-01-02,CIVIC,Car model name made entirely of Roman numerals,2022
197,2022-01-02,ELENA,Novelist Ferrante,2022
198,2022-01-02,LAIC,Of the flock,2022
199,2022-01-02,FENCE,Cross swords,2022
200,2022-01-02,FLUES,Sooty channels,2022
201,2022-01-02,IPAD,Modern checkout device,2022
202,2022-01-02,MRIS,"Diagnostic scans, for short",2022
203,2022-01-02,Abbr.,Map lines,2022
204,2022-01-02,EPA,Clean energy grp.,2022
205,2022-01-02,TAR,"Stuff in cigarettes, but not e-cigarettes",2022
206,2022-01-02,AND,"""... is there more?""",2022
207,2022-01-02,MIA,Rapper known offstage as Mathangi Arulpragasam,2022
208,2022-01-03,HARM,"""First, do no ___"" (physician's maxim)",2022
209,2022-01-03,NOMSG,Claim on some food packaging,2022
210,2022-01-03,EASE,Simplicity,2022
211,2022-01-03,OREO,Cookie often dipped in milk,2022
212,2022-01-03,ARENA,"Barclays Center in Brooklyn, for one",2022
213,2022-01-03,GRAM,Ending with Insta-,2022
214,2022-01-03,MINDREADER,Telepathic sort,2022
215,2022-01-03,GERI,Halliwell of the Spice Girls,2022
216,2022-01-03,ESTEE,Makeup mogul Lauder,2022
217,2022-01-03,SETSBAIL,Determines the money needed to get out of jail,2022
218,2022-01-03,YESLETS,"Affirmative response to ""Shall we dance?""",2022
219,2022-01-03,ZETA,Greek letter that one might expect to come last,2022
220,2022-01-03,SLEEPERAGENT,Embedded spy awaiting a mission,2022
221,2022-01-03,AAA,Minor-league level,2022
222,2022-01-03,TEA,"With 59-Across, ""Madam Secretary"" star",2022
223,2022-01-03,METER,Curbside coin collector,2022
224,2022-01-03,ALLOVERTHEPLACE,"Scattered here, there and everywhere",2022
225,2022-01-03,HIPPO,"Animal that dances ballet in ""Fantasia""",2022
226,2022-01-03,IOS,Apple mobile devices run on it,2022
227,2022-01-03,SKY,Locale for clouds,2022
228,2022-01-03,STOPITYOUTWO,"""Quit arguing, kids!""",2022
229,2022-01-03,OCHO,Cuatro + cuatro,2022
230,2022-01-03,RAINMAN,1988 Best Picture winner starring Dustin Hoffman,2022
231,2022-01-03,BADSEEDS,"People who ""sow"" evil",2022
232,2022-01-03,LEONI,See 35-Across,2022
233,2022-01-03,ACAI,Antioxidant-rich berry,2022
234,2022-01-03,GUTFEELING,"Intuition without logical explanation, or a hint to this puzzle's circled letters",2022
235,2022-01-03,LINT,Dryer fuzz,2022
236,2022-01-03,ADIOS,"""Ciao"" in Chihuahua",2022
237,2022-01-03,ARIE,Singer India.___,2022
238,2022-01-03,EDGE,Border,2022
239,2022-01-03,PEROT,"H. Ross ___, candidate of 1992 and 1996",2022
240,2022-01-03,PEEL,Banana skin,2022
241,2022-01-03,HOMEY,Invitingly warm and cozy,2022
242,2022-01-03,ARISE,"Come up, as issues",2022
243,2022-01-03,RENTS,Amounts on Monopoly cards,2022
244,2022-01-03,MODELS,"X and Y, for Tesla",2022
245,2022-01-03,NAE,Scottish refusal,2022
246,2022-01-03,ORA,Pop star Rita,2022
247,2022-01-03,MEDS,Doc's prescriptions,2022
248,2022-01-03,SNEEZE,"""Gesundheit!"" elicitor",2022
249,2022-01-03,GARTER,"Hose holder, or a kind of snake",2022
250,2022-01-03,EGGBAGEL,Breakfast roll with another breakfast staple added in,2022
251,2022-01-03,AREA,Locale,2022
252,2022-01-03,SARI,Dress in India,2022
253,2022-01-03,EMIL,Jannings who won the first Best Actor Oscar,2022
254,2022-01-03,REEL,Highlight ___ (sports compilation),2022
255,2022-01-03,STAMP,"""Forever"" purchase",2022
256,2022-01-03,Fr.,Head,2022
257,2022-01-03,SEER,Clairvoyant sort,2022
258,2022-01-03,PATIO,Outdoor furniture setting,2022
259,2022-01-03,ETAS,Sched. listings at JFK or LAX,2022
260,2022-01-03,NECK,Long part of a giraffe,2022
261,2022-01-03,TREY,Card above deuce,2022
262,2022-01-03,AAHS,Oohs and ___,2022
263,2022-01-03,ALIT,"Landed, as on a wire",2022
264,2022-01-03,ALPO,"Fido fare, maybe",2022
265,2022-01-03,OPPOSITE,"Night, to day",2022
266,2022-01-03,VOICE,Soprano or alto,2022
267,2022-01-03,HOUR,60 minutes,2022
268,2022-01-03,Sp.,This,2022
269,2022-01-03,THEGAP,"Something to ""mind"" at a British train station",2022
270,2022-01-03,YODUDE,"""What's up, my man?!""",2022
271,2022-01-03,WILE,___ E. Coyote,2022
272,2022-01-03,ONELAP,"Up and back, in a pool",2022
273,2022-01-03,MOIRE,Wavy-patterned fabric,2022
274,2022-01-03,ANNIE,Photographer Leibovitz,2022
275,2022-01-03,NIGEL,"___ Barker, fashion photographer and reality TV judge",2022
276,2022-01-03,BALE,Bundle of hay,2022
277,2022-01-03,ACID,You'll trip on it if you drop it,2022
278,2022-01-03,DANG,"""Shoot!""",2022
279,2022-01-03,STIR,Commotion,2022
280,2022-01-03,FOO,Rock's ___ Fighters,2022
281,2022-01-03,Abbr.,Ballpark guess,2022
282,2022-01-04,ESC,Upper-left keyboard button,2022
283,2022-01-04,CRAMPS,"Hinders, as one's style",2022
284,2022-01-04,SBA,Federal loan agcy.,2022
285,2022-01-04,GEL,Aloe vera product,2022
286,2022-01-04,REGALE,Entertain lavishly,2022
287,2022-01-04,TOP,#1,2022
288,2022-01-04,OXO,Kitchen gadget brand,2022
289,2022-01-04,OCELOT,Spotted wild cat,2022
290,2022-01-04,EXT,"Screenplay abbr. indicating ""outside""",2022
291,2022-01-04,YOUCANTTHINK,Start of an optimistic quote by 57-Across,2022
292,2022-01-04,VENN,Kind of diagram that the Mastercard logo resembles,2022
293,2022-01-04,PTAS,School grps. without students,2022
294,2022-01-04,Steve Jobs on Bill Gates,"""He'd be a broader guy if he had dropped ___ once""",2022
295,2022-01-04,SLEDS,Snow day toys,2022
296,2022-01-04,SMITE,Strike from the Bible?,2022
297,2022-01-04,OFYOURTROUBLES,Part 2 of the quote,2022
298,2022-01-04,LOVEYA,"""Smooches!""",2022
299,2022-01-04,WHILESOLVING,Part 3 of the quote,2022
300,2022-01-04,PHONY,Knockoff,2022
301,2022-01-04,ECARD,Virtual holiday greeting,2022
302,2022-01-04,BOGS,Cranberry farms,2022
303,2022-01-04,SUNS,"N.B.A. team with a gorilla mascot, strangely enough",2022
304,2022-01-04,EMIR,Kuwaiti ruler,2022
305,2022-01-04,JAW,Shoot the breeze,2022
306,2022-01-04,OHNEAT,"""Spiffy!""",2022
307,2022-01-04,EDY,Big name in the freezer aisle,2022
308,2022-01-04,ACROSSWORD,End of the quote,2022
309,2022-01-04,MARGARETFARRAR,First puzzle editor of The New York Times,2022
310,2022-01-04,ANTI,Like a thumbs-down vote,2022
311,2022-01-04,TALI,Anklebones,2022
312,2022-01-04,SODA,"With 66-Across, fizzy drink",2022
313,2022-01-04,CDS,Lasers read them from the inside out,2022
314,2022-01-04,STET,"Proofreader's ""Actually, don't delete this""",2022
315,2022-01-04,POP,See 63-Across,2022
316,2022-01-04,EGO,Lead-in to mania,2022
317,2022-01-04,SEXYELF,Risqué costume for a holiday party,2022
318,2022-01-04,CLOONEY,"George of ""Hail, Caesar!""",2022
319,2022-01-04,CROC,Foam clog,2022
320,2022-01-04,RECAP,Make a long story short?,2022
321,2022-01-04,AGENT,Bond is a special one,2022
322,2022-01-04,MALTA,Island nation south of Sicily,2022
323,2022-01-04,PLOTS,Schemes,2022
324,2022-01-04,SETH,"Rogen of ""Superbad"" and ""This Is the End""",2022
325,2022-01-04,STENCIL,Artist's shortcut,2022
326,2022-01-04,BOXKITE,Airborne toy with no tail,2022
327,2022-01-04,APT,Like Usain Bolt's last name,2022
328,2022-01-04,UNDO,Edit menu option,2022
329,2022-01-04,IAMB,Poetic foot with a short and long syllable,2022
330,2022-01-04,VSO,Letters on a bottle of brandy,2022
331,2022-01-04,DES,"___ Moines, Iowa",2022
332,2022-01-04,SULLY,"Blacken, as a reputation",2022
333,2022-01-04,SUAVE,Almost too smooth,2022
334,2022-01-04,ROE,Caviar,2022
335,2022-01-04,TVS,Sports bar array,2022
336,2022-01-04,REO,___ Speedwagon,2022
337,2022-01-04,OYL,Popeye's Olive,2022
338,2022-01-04,WHOA,"""Mind. Blown.""",2022
339,2022-01-04,HOGWARTS,School where students learn to spell?,2022
340,2022-01-04,INS,Ones with access,2022
341,2022-01-04,ICE,"It makes a ""clink"" in a drink",2022
342,2022-01-04,NAMEDROP,Make it well known that you know someone well-known well,2022
343,2022-01-04,GRID,Many a city street layout,2022
344,2022-01-04,PBJ,Popular sammie,2022
345,2022-01-04,DRY,Like some humor and martinis,2022
346,2022-01-04,SHORTS,Word after booty or Bermuda,2022
347,2022-01-04,UNSEAT,Remove from office,2022
348,2022-01-04,NESTLE,Parent company of Lean Cuisine,2022
349,2022-01-04,SAWFIT,Considered it right (to),2022
350,2022-01-04,ORA,60 minuti,2022
351,2022-01-04,TOA,Ode title starter,2022
352,2022-01-04,CGI,Movie f/x,2022
353,2022-01-04,Abbr.,B&O and Short Line,2022
354,2022-01-04,MAC,"With 58-Down, words before cheese",2022
355,2022-01-04,AND,See 57-Down,2022
356,2022-01-04,ADO,Kerfuffle,2022
357,2022-01-04,RAP,Bust a rhyme,2022
358,2022-01-05,HECHT,"Screenwriter Ben who wrote ""Angels Over Broadway""",2022
359,2022-01-05,BET,"""Wanna ___?""",2022
360,2022-01-05,FEAST,*One of two extremes in a saying,2022
361,2022-01-05,AROAR,"Loud, as a crowd",2022
362,2022-01-05,AXE,Firefighter's tool,2022
363,2022-01-05,ADLER,"Grace's last name on ""Will & Grace""",2022
364,2022-01-05,SMILE,"Directive before ""You're on 'Candid Camera'""",2022
365,2022-01-05,WAX,Medium at Madame Tussauds,2022
366,2022-01-05,MICRO,Prefix with aggression,2022
367,2022-01-05,HALFFULL,"*Description of a glass, maybe",2022
368,2022-01-05,IFSAY,"""Suppose ...""",2022
369,2022-01-05,EON,"Long, long time",2022
370,2022-01-05,TAWNY,Lion-colored,2022
371,2022-01-05,COMMIT,"Perpetrate, as a crime",2022
372,2022-01-05,LIE,"""Thanks, it's just what I've always wanted,"" often",2022
373,2022-01-05,ZEN,Kind of state,2022
374,2022-01-05,HOOPLA,Fuss,2022
375,2022-01-05,WEN,"___ Jiabao, 2003-13 premier of China",2022
376,2022-01-05,POGO,Kind of stick,2022
377,2022-01-05,EMIT,Put out,2022
378,2022-01-05,PEACE,*Word in a classic Tolstoy title,2022
379,2022-01-05,ERGO,Thus,2022
380,2022-01-05,SPRY,Moving well for one's age,2022
381,2022-01-05,PAR,Number it's good to be under,2022
382,2022-01-05,LISBON,"Home of the Vasco da Gama Bridge, over 7.5 miles long",2022
383,2022-01-05,SHE,"""___ sells seashells by the seashore""",2022
384,2022-01-05,SET,Finalized,2022
385,2022-01-05,INSANE,Not at all reasonable,2022
386,2022-01-05,ANDSO,Thus,2022
387,2022-01-05,SCI,Grade sch. subject,2022
388,2022-01-05,PARMA,Italian cheese city,2022
389,2022-01-05,OPTIMIST,One who identifies with the answers to the starred Across clues,2022
390,2022-01-05,USAIR,Carrier name until 1997,2022
391,2022-01-05,UZO,"Aduba of ""Mrs. America""",2022
392,2022-01-05,TITHE,Certain church gift,2022
393,2022-01-05,SHINE,*Certain forecast,2022
394,2022-01-05,NET,After tax,2022
395,2022-01-05,Sp.,These,2022
396,2022-01-05,SYNOD,Church council,2022
397,2022-01-05,IDS,"Face cards, for short?",2022
398,2022-01-05,STYES,Ocular woes,2022
399,2022-01-05,HASH,This-and-that dish,2022
400,2022-01-05,ERMA,Humorist Bombeck,2022
401,2022-01-05,COIL,Helix,2022
402,2022-01-05,HALFEMPTY,"*Description of a glass, maybe",2022
403,2022-01-05,TREFOIL,Girl Scout emblem,2022
404,2022-01-05,BAWL,Cry like a baby,2022
405,2022-01-05,EXALT,Lift up,2022
406,2022-01-05,TEX,Nickname for a wrangler,2022
407,2022-01-05,FAMINE,*One of two extremes in a saying,2022
408,2022-01-05,EDIFY,Enlighten,2022
409,2022-01-05,ALCS,Oct. contest for a pennant,2022
410,2022-01-05,SERA,"Word sung twice after ""Que""",2022
411,2022-01-05,TROY,Ancient siege site,2022
412,2022-01-05,UNTAPPED,"Not being utilized, say",2022
413,2022-01-05,ALEC,Eldest of the Baldwin brothers,2022
414,2022-01-05,WINELIST,Sommelier's handout,2022
415,2022-01-05,CHESS,The mating game?,2022
416,2022-01-05,OOMPH,"Energy, informally",2022
417,2022-01-05,MOIRE,Wavy fabric pattern,2022
418,2022-01-05,ZORBA,"""The Greek"" of film",2022
419,2022-01-05,EGGON,Goad,2022
420,2022-01-05,NOONE,Nary a soul,2022
421,2022-01-05,WAR,*Word in a classic Tolstoy title,2022
422,2022-01-05,PESSIMIST,One who identifies with the answers to the starred Down clues,2022
423,2022-01-05,EATS,Grub,2022
424,2022-01-05,INCITES,Stirs up,2022
425,2022-01-05,SNARED,Caught in a trap,2022
426,2022-01-05,AMINO,___ acid,2022
427,2022-01-05,OOZED,Moved like molasses,2022
428,2022-01-05,PUSS,Kisser,2022
429,2022-01-05,ASHY,Cinder-covered,2022
430,2022-01-05,RAIN,*Certain forecast,2022
431,2022-01-05,POTS,Some kitchenware,2022
432,2022-01-05,ITTY,Teeny-tiny,2022
433,2022-01-05,SHOE,Place for a lace,2022
434,2022-01-05,TESS,"___ Gerritsen, author of romantic thrillers",2022
435,2022-01-05,UNI,"Place of higher education, to Brits",2022
436,2022-01-06,SPAN,Go over,2022
437,2022-01-06,MEEK,"Like the eventual inheritors of the earth, in Matthew",2022
438,2022-01-06,HALO,Mark of divinity,2022
439,2022-01-06,CAMO,A G.I. may be seen in it,2022
440,2022-01-06,ISLA,"Actress Fisher of ""Wedding Crashers""",2022
441,2022-01-06,AXON,Brain connection,2022
442,2022-01-06,AVID,"Like fans who hold season tickets, typically",2022
443,2022-01-06,MURDERMYSTERY,Genre for Agatha Christie or Arthur Conan Doyle,2022
444,2022-01-06,LIL,Rapper ___ Nas X,2022
445,2022-01-06,PDA,"Kissing on the subway, e.g., for short",2022
446,2022-01-06,SAMESEX,Like some relationships,2022
447,2022-01-06,PRIDEMONTH,June,2022
448,2022-01-06,KIT,Baby fox,2022
449,2022-01-06,BOLOTIE,Bit of Western neckwear,2022
450,2022-01-06,TODOS,Items on a checklist,2022
451,2022-01-06,BRUNEI,One of two sultanates in the United Nations,2022
452,2022-01-06,KOBE,"N.B.A. legend nicknamed ""Black Mamba""",2022
453,2022-01-06,OVA,Egg cells,2022
454,2022-01-06,LOCK,U-shaped bike accessory,2022
455,2022-01-06,SCENE,Last word in an improv show,2022
456,2022-01-06,OMEN,A rainbow is said to be a good one,2022
457,2022-01-06,ASK,Beseech,2022
458,2022-01-06,SEAS,Word with high or seven,2022
459,2022-01-06,ASPIRE,Reach for the stars,2022
460,2022-01-06,BASIC,No-frills,2022
461,2022-01-06,DUSTPAN,Things might get swept up in it,2022
462,2022-01-06,MOM,___ jeans,2022
463,2022-01-06,PENALCOLONY,"Early 19th-century Australia, for one",2022
464,2022-01-06,TUGBOAT,Water tower?,2022
465,2022-01-06,WIT,Funny one,2022
466,2022-01-06,HAH,"""Funny one!""",2022
467,2022-01-06,GROUPTHINK,"Intellectual conformity ... or a hint to interpreting 17-, 22- and 51-Across",2022
468,2022-01-06,LACE,Some frills,2022
469,2022-01-06,IDLE,Lay off,2022
470,2022-01-06,ZERO,Net emissions target,2022
471,2022-01-06,Abbr.,"Lively, in music",2022
472,2022-01-06,FUDD,"""Wabbit"" hunter Elmer",2022
473,2022-01-06,OMAN,One of two sultanates in the United Nations,2022
474,2022-01-06,ODDS,"Right-hand page numbers, typically",2022
475,2022-01-06,SCALLION,Garden item frequently added to cream cheese,2022
476,2022-01-06,PAVILION,World's fair sight,2022
477,2022-01-06,AMILLIONBUCKS,Great thing to feel like,2022
478,2022-01-06,NOD,Signal agreement,2022
479,2022-01-06,MICROWATT,Little bit of power,2022
480,2022-01-06,ESCROW,Funds might be held in this,2022
481,2022-01-06,ELMS,Classic boulevard liners,2022
482,2022-01-06,KAYAK,Boat going back and forth?,2022
483,2022-01-06,HATETO,Would really rather not,2022
484,2022-01-06,AXES,"x, y and sometimes z",2022
485,2022-01-06,LORE,"Romulus, Remus and the founding of Rome, e.g.",2022
486,2022-01-06,ONYX,Jet-black gem,2022
487,2022-01-06,CROWDNOISE,"Cheers, boos and such",2022
488,2022-01-06,SMITE,Strike down,2022
489,2022-01-06,POLE,+ or - thing,2022
490,2022-01-06,MONK,Brother,2022
