,crossword_date,answers,clues,crossword_year,day_of_week
20260,2015-09-01,THEMRS,"One's wife, informally",2015,Tuesday
20346,2015-09-02,ZEBRA,"N.F.L. ref, slangily",2015,Wednesday
19992,2015-08-29,WEIRDAL,"Big producer of novelty records, informally",2015,Saturday
19941,2015-08-29,ALUM,"Stereotypical pennant waver, colloquially",2015,Saturday
20127,2015-08-30,TBONES,"Broadsides, informally",2015,Sunday
20044,2015-08-30,DIPSO,"Heavy drinker, in slang",2015,Sunday
20681,2015-09-06,CAR54,"1960s buddy cop sitcom, informally",2015,Sunday
20658,2015-09-06,THELOWER48,"Contiguous U.S. states, colloquially",2015,Sunday
20741,2015-09-06,ARE,Word often shortened to its middle letter in texts,2015,Sunday
20764,2015-09-07,PUTTPUTTS,"Slow motorboats, informally",2015,Monday
20750,2015-09-07,PRELIM,"Early tournament match, informally",2015,Monday
20556,2015-09-05,CREEPIES,"Spiders and such, slangily",2015,Saturday
19396,2015-08-22,SKEDS,"Programs, informally",2015,Saturday
19423,2015-08-23,JACK,"Nothing, slangily",2015,Sunday
19038,2015-08-17,UNPLUG,"Go acoustic, informally",2015,Monday
19696,2015-08-25,UKE,"Hawaiian instrument, informally",2015,Tuesday
19678,2015-08-25,CHROMO,"Old color print, informally",2015,Tuesday
19811,2015-08-27,UTDALLAS,"Educational institution near Plano, informally",2015,Thursday
22243,2015-09-25,TPS,"Plays a campus prank on, informally",2015,Friday
22213,2015-09-25,ACS,"Coolers, informally",2015,Friday
21885,2015-09-20,OFFS,"Slays, informally",2015,Sunday
22531,2015-09-28,PSYOP,"Military initiative that seeks to influence the enemy's mind, informally",2015,Monday
22678,2015-09-30,GAZILLION,"Huge amount, slangily",2015,Wednesday
22287,2015-09-26,PUTARINGONIT,"Get engaged, in slang",2015,Saturday
22321,2015-09-26,DOPENESS,"Excellence, in modern slang",2015,Saturday
22513,2015-09-28,AMMO,"Bullets, informally",2015,Monday
22404,2015-09-27,CHEDDAR,"Money, in modern slang",2015,Sunday
21121,2015-09-12,ABALL,"Step above the rookie leagues, informally",2015,Saturday
21138,2015-09-12,CHOPS,"Expertise, informally",2015,Saturday
21317,2015-09-13,MOC,"Cozy footwear, informally",2015,Sunday
21654,2015-09-18,NEURO,"Brain study, informally",2015,Friday
21572,2015-09-17,PRAYER,"Remote chance, informally",2015,Thursday
21775,2015-09-20,BOOST,"Shoplift, in slang",2015,Sunday
21695,2015-09-19,UCLAN,"Student with the motto ""Fiat Lux,"" informally",2015,Saturday
21410,2015-09-15,STPETE,"Florida Gulf city, informally",2015,Tuesday
21360,2015-09-14,AROD,"Yankee slugger with the most M.L.B. career grand slams, informally",2015,Monday
21383,2015-09-14,FROS,"Bushy dos, informally",2015,Monday
21391,2015-09-14,YKNOW,"""Get what I mean?,"" informally",2015,Monday
21520,2015-09-16,ECIG,"Tobaccoless smoke, informally",2015,Wednesday
16365,2015-07-16,ODING,"Having too much, informally",2015,Thursday
16493,2015-07-18,DAST,"Dare, colloquially",2015,Saturday
16352,2015-07-16,TWOGIGS,"Modest flash drive capacity, informally",2015,Thursday
16288,2015-07-15,TERP,"Maryland athlete, informally",2015,Wednesday
16590,2015-07-19,PARENS,"Alternatives to commas, informally",2015,Sunday
16986,2015-07-24,ACES,"Excellent, slangily",2015,Friday
16647,2015-07-20,PHAT,"Excellent, in dated slang",2015,Monday
16784,2015-07-21,SKED,"TV listings, informally",2015,Tuesday
16801,2015-07-22,IMO,"""I'd say,"" in texts",2015,Wednesday
16719,2015-07-21,ABS,"Muscles that may be sculpted, informally",2015,Tuesday
15465,2015-07-05,PAD,"Apartment, informally",2015,Sunday
15259,2015-07-03,CIGS,"Purchases that are puffed, slangily",2015,Friday
15402,2015-07-05,NTEST,"Trial that bombs, informally",2015,Sunday
15317,2015-07-04,HOLLA,"Say hi, in modern lingo",2015,Saturday
16021,2015-07-12,SIMOLEON,"Buck, in old slang",2015,Sunday
15757,2015-07-09,QUAD,"Leg muscle, informally",2015,Thursday
15666,2015-07-08,CLIP,"Good pace, informally",2015,Wednesday
18348,2015-08-09,TRANS,"Part of L.G.B.T., informally",2015,Sunday
18306,2015-08-09,AROD,"Member of the 3,000-hit club, informally",2015,Sunday
18041,2015-08-06,RASTA,"Worshiper of Jah, informally",2015,Thursday
18795,2015-08-15,TEXASTEA,"Crude, in slang",2015,Saturday
18819,2015-08-15,CAL,"One side in college football's annual Big Game, informally",2015,Saturday
18767,2015-08-14,NIC,"Actor Cage, informally",2015,Friday
18920,2015-08-16,LIPO,"Slimming surgery, informally",2015,Sunday
18951,2015-08-16,NITRO,"Funny-car fuel, informally",2015,Sunday
18940,2015-08-16,DROP,"Release to the public, informally",2015,Sunday
18571,2015-08-12,STACHE,"Something just under one's nose, slangily",2015,Wednesday
18509,2015-08-11,SOCAL,"San Diego setting, informally",2015,Tuesday
18668,2015-08-13,SHAVETAILS,"Rookie officers, in slang",2015,Thursday
17519,2015-07-30,SPEX,"Glasses, informally",2015,Thursday
17467,2015-07-30,ALUMS,"Many homecoming attendees, informally",2015,Thursday
17113,2015-07-26,PIEHOLE,"Mouth, slangily",2015,Sunday
17244,2015-07-27,HIPPO,"Zoo heavyweight, informally",2015,Monday
17619,2015-08-01,FRIENDZONE,"Relationship with unrequited love, in modern slang",2015,Saturday
17629,2015-08-01,BAG,"Specialty, informally",2015,Saturday
17563,2015-07-31,CANKLES,"Lower leg woe, slangily",2015,Friday
27753,2015-11-30,GMAN,"Gangster catcher, informally",2015,Monday
27701,2015-11-29,KONG,"Beast on Skull Island, informally",2015,Sunday
27683,2015-11-29,NARK,"Informer, informally",2015,Sunday
28214,2015-12-06,MOTORS,"Moves quickly, informally",2015,Sunday
28037,2015-12-04,MEGA,"Enormous, informally",2015,Friday
27973,2015-12-03,THRU,"Kind of street, informally",2015,Thursday
28172,2015-12-06,MONDO,"Extremely, in dated slang",2015,Sunday
26900,2015-11-20,BUMRAP,"Legal injustice, informally",2015,Friday
26991,2015-11-22,SMOKE,"Soundly defeat, informally",2015,Sunday
27354,2015-11-26,RELO,"It might be needed for a new job, informally",2015,Thursday
27455,2015-11-27,DRE,"Onetime Ice Cube collaborator, informally",2015,Friday
27427,2015-11-27,CABS,"Napa options, informally",2015,Friday
27100,2015-11-22,MICDROP,"It might follow a showstopping performance, in modern lingo",2015,Sunday
27151,2015-11-23,MISSUS,"Wife, informally",2015,Monday
27146,2015-11-23,WHOLESHEBANG,"Entirety, informally",2015,Monday
29782,2015-12-25,NITE,"Prime-time time, informally",2015,Friday
29460,2015-12-21,THO,"However, informally",2015,Monday
29554,2015-12-22,TUT,"One of the kings in the Valley of the Kings, informally",2015,Tuesday
30189,2015-12-30,JIMI,"Last performer at Woodstock, informally",2015,Wednesday
30126,2015-12-29,HBOMB,"Big bang maker, informally",2015,Tuesday
30313,2015-12-31,USH,"Escort, slangily",2015,Thursday
29964,2015-12-27,ANGLOS,"Whites, informally",2015,Sunday
29883,2015-12-26,SCRIBE,"Journalist, informally",2015,Saturday
30057,2015-12-28,ELO,"""Livin' Thing"" band, 1976, informally",2015,Monday
28760,2015-12-13,DELTA,"Certain sorority member, informally",2015,Sunday
28908,2015-12-14,ONEG,"Downward force felt on the surface of the earth, informally",2015,Monday
28517,2015-12-09,VIBE,"Intuitive feeling, informally",2015,Wednesday
28587,2015-12-10,TILNOW,"Thus far, informally",2015,Thursday
29193,2015-12-18,CAMS,"Reality show gear, informally",2015,Friday
29143,2015-12-17,RNR,"Time off, in mil. slang",2015,Thursday
24012,2015-10-17,ITSY,"Lilliputian, informally",2015,Saturday
23999,2015-10-16,DANL,"Frontiersman Boone, informally",2015,Friday
23861,2015-10-14,KING,"Cowboy, in poker slang",2015,Wednesday
24452,2015-10-22,STANS,"Several Asian lands, informally",2015,Thursday
24592,2015-10-24,UBER,"Really, informally",2015,Saturday
24559,2015-10-23,PELS,"New Orleans N.B.A. team, informally",2015,Friday
24538,2015-10-23,LARAMS,"Hall-of-Famer Merlin Olsen and others, informally",2015,Friday
24581,2015-10-23,INOT,"Playing past regulation, informally",2015,Friday
24292,2015-10-20,BLACKGOLD,"*Oil, informally",2015,Tuesday
24276,2015-10-19,CARB,"Nutrition unit in pasta, informally",2015,Monday
24376,2015-10-21,TAZ,"Looney Tunes ""devil,"" informally",2015,Wednesday
24359,2015-10-20,ODS,"Has too much, informally",2015,Tuesday
23072,2015-10-05,UIE,"180° turn, informally",2015,Monday
23182,2015-10-06,OTOH,"Conversely, in texts",2015,Tuesday
22820,2015-10-02,TOMCAT,"Promiscuous guy, in slang",2015,Friday
23516,2015-10-11,MOC,"Soft wear, informally",2015,Sunday
23405,2015-10-09,OSAMA,"Former cave dweller, informally",2015,Friday
25872,2015-11-08,UIES,"Some ""Fast and the Furious"" maneuvers, slangily",2015,Sunday
25678,2015-11-05,GIJOES,"U.S. soldiers, in slang",2015,Thursday
25676,2015-11-05,SOX,"Pride of Boston, informally",2015,Thursday
25657,2015-11-05,TIL,"Up to, informally",2015,Thursday
26389,2015-11-14,SPITSGAME,"Uses pickup lines, in slang",2015,Saturday
26334,2015-11-14,GAYBORHOOD,"Place like Chicago's Boystown or San Francisco's Castro, in modern lingo",2015,Saturday
26443,2015-11-15,SWAG,"Coolness, in modern slang",2015,Sunday
26249,2015-11-12,KNOB,"Person's head, in slang",2015,Thursday
25085,2015-10-29,LEX,"Big Apple thoroughfare, informally",2015,Thursday
25114,2015-10-30,PHAT,"Excellent, in 1990s slang",2015,Friday
25387,2015-11-02,RIO,"2016 Olympics city, informally",2015,Monday
25402,2015-11-02,INTEL,"Facts collected by spies, informally",2015,Monday
25401,2015-11-02,PUSHUPDAISIES,"Be dead and buried, in slang",2015,Monday
25224,2015-10-31,RAGEQUIT,"Suddenly and angrily stop playing a game, in modern lingo",2015,Saturday
5080,2015-03-03,DELT,"Shoulder muscle, informally",2015,Tuesday
5118,2015-03-03,POP,"Punch in the face, informally",2015,Tuesday
4907,2015-03-01,ORIT,"""Pics ___ didn't happen"" (slangy challenge)",2015,Sunday
4906,2015-03-01,NOCAL,"Superdietary, informally",2015,Sunday
5518,2015-03-08,PRELIM,"Heat, informally",2015,Sunday
5343,2015-03-06,LIZTAYLOR,"""Success is a great deodorant"" speaker, informally",2015,Friday
3852,2015-02-16,SAX,"Instrument for Bill Clinton, informally",2015,Monday
3845,2015-02-16,CHI,"Site of the 1968 Democratic convention, informally",2015,Monday
4569,2015-02-24,SEXED,"Health teacher's topic, informally",2015,Tuesday
4689,2015-02-26,OLEMISS,"Oxford university, informally",2015,Thursday
4682,2015-02-26,CALI,"Many a surfer's locale, informally",2015,Thursday
4679,2015-02-26,BRAT,"Certain sausage, informally",2015,Thursday
4391,2015-02-22,TEE,"Hanes purchase, informally",2015,Sunday
6727,2015-03-22,TOONS,"Saturday morning fare, informally",2015,Sunday
6765,2015-03-23,USOFA,"Stars and Stripes land, informally",2015,Monday
6796,2015-03-23,MAX,"Highest amount, informally",2015,Monday
7361,2015-03-30,BBQ,"Outdoor meal with a grill, informally",2015,Monday
7353,2015-03-30,HEF,"Playboy founder, informally",2015,Monday
7548,2015-04-02,EASTLA,"Latino Walk of Fame locale, informally",2015,Thursday
7508,2015-04-01,ABOMB,"Manhattan Project project, informally",2015,Wednesday
7133,2015-03-28,LITCRIT,"Novel opinions, informally?",2015,Saturday
7300,2015-03-29,BALTO,"Maryland's largest city, informally",2015,Sunday
7279,2015-03-29,DAP,"Fist bump, in slang",2015,Sunday
5798,2015-03-11,HYDRO,"Eco-friendly power source, informally",2015,Wednesday
5696,2015-03-10,CARDIO,"What spin classes provide, informally",2015,Tuesday
5725,2015-03-10,GROK,"Understand, slangily",2015,Tuesday
6482,2015-03-20,EENSY,"Tiny, informally",2015,Friday
6485,2015-03-20,DINO,"Natural history museum exhibit, informally",2015,Friday
6295,2015-03-17,RANDR,"Vacation time, informally",2015,Tuesday
1196,2015-01-15,TMEN,"Ones on the money trail, informally",2015,Thursday
1739,2015-01-21,HOMER,"Go yard, in baseball slang",2015,Wednesday
1521,2015-01-19,BREWSKI,"Beer, slangily",2015,Monday
1654,2015-01-20,CROC,"Swamp beast, informally",2015,Tuesday
1544,2015-01-19,UMPS,"Home plate figures, informally",2015,Monday
306,2015-01-04,FROYO,"Cold treat, informally",2015,Sunday
258,2015-01-04,SEZ,"37-Across, informally",2015,Sunday
72,2015-01-02,TEACH,"One at the head of the class, informally",2015,Friday
203,2015-01-03,TOI,"""Vous,"" informally",2015,Saturday
215,2015-01-04,XWORD,"Daily newspaper feature, informally",2015,Sunday
747,2015-01-10,EPI,"Adrenaline, informally",2015,Saturday
915,2015-01-11,MCING,"Hosting, informally",2015,Sunday
833,2015-01-11,ARNIE,"Schwarzenegger, informally",2015,Sunday
548,2015-01-07,RRR,"Basics of education, colloquially",2015,Wednesday
493,2015-01-06,SORTA,"Somewhat, informally",2015,Tuesday
604,2015-01-08,LEVEL,"Honest, informally",2015,Thursday
620,2015-01-08,ONEK,"Short race, informally",2015,Thursday
630,2015-01-08,BRITS,"One side in the Boer Wars, informally",2015,Thursday
3181,2015-02-08,PENN,"One of the Ivies, informally",2015,Sunday
3235,2015-02-08,ONED,"Linear, informally",2015,Sunday
2864,2015-02-04,SPOSE,"Let's say, informally",2015,Wednesday
2873,2015-02-04,IMHO,"""If you ask me,"" in textspeak",2015,Wednesday
3074,2015-02-07,KAYS,"Some jewelry stores, informally",2015,Saturday
3652,2015-02-14,FEDS,"Gangsters' counterparts, informally",2015,Saturday
3566,2015-02-13,TBILL,"Single-price auction purchase, informally",2015,Friday
3613,2015-02-13,KISSER,"Face or mouth, informally",2015,Friday
3757,2015-02-15,TTYL,"""Bye for now,"" in textspeak",2015,Sunday
3775,2015-02-15,JLO,"""Maid in Manhattan"" star, informally",2015,Sunday
3725,2015-02-15,PERP,"Miranda warning receiver, informally",2015,Sunday
3377,2015-02-10,KOS,"37 bout results for Muhammad Ali, informally",2015,Tuesday
2170,2015-01-27,CHI,"Home of the Bulls, informally",2015,Tuesday
2165,2015-01-26,FRO,"Jimi Hendrix's do, informally",2015,Monday
1965,2015-01-25,REPS,"Sales force, informally",2015,Sunday
1994,2015-01-25,TMI,"""I don't need to hear that,"" informally",2015,Sunday
2624,2015-02-01,COON,"Garbage collector, informally?",2015,Sunday
2839,2015-02-04,AMEX,"Green card issuer, informally",2015,Wednesday
2395,2015-01-29,MEG,"Memory unit, informally",2015,Thursday
12361,2015-05-29,GYPSIES,"Broadway chorus dancers, informally",2015,Friday
13238,2015-06-08,PREMIE,"Incubator baby, informally",2015,Monday
13228,2015-06-08,JAG,"Pricey sports car, informally",2015,Monday
13169,2015-06-08,MEDS,"Pill bottle contents, informally",2015,Monday
12798,2015-06-03,FAVE,"Top choice, informally",2015,Wednesday
12853,2015-06-04,BDAY,"Present time, informally",2015,Thursday
11730,2015-05-22,KINDA,"A bit, informally",2015,Friday
11846,2015-05-24,NABE,"Local theater, slangily",2015,Sunday
11786,2015-05-23,EMO,"Overly sensitive, informally",2015,Saturday
12191,2015-05-27,SLIMY,"Unethical, informally",2015,Wednesday
12182,2015-05-27,HOOFS,"Tap-dances, informally",2015,Wednesday
12144,2015-05-26,SCORE,"Manage to get, informally",2015,Tuesday
12300,2015-05-28,MELON,"Head, in slang",2015,Thursday
11949,2015-05-24,UEYS,"Often-illegal turns, informally",2015,Sunday
11984,2015-05-24,RARIN,"Eager, informally",2015,Sunday
14483,2015-06-24,NITRO,"Big bang material, informally",2015,Wednesday
14604,2015-06-25,PEEPER,"Eye, informally",2015,Thursday
14626,2015-06-26,MANSPLAIN,"Patronizingly point out, in modern lingo",2015,Friday
14297,2015-06-21,HOSE,"Trick, slangily",2015,Sunday
14353,2015-06-22,DEM,"Obama or Biden, informally",2015,Monday
15114,2015-07-01,HBOMB,"Eniwetok blaster, informally",2015,Wednesday
15154,2015-07-02,AMINO,"Protein constituent, informally",2015,Thursday
15065,2015-07-01,NARY,"Not one, colloquially",2015,Wednesday
14841,2015-06-28,MERC,"Former Ford make, informally",2015,Sunday
14850,2015-06-28,LINOS,"Typesetting machines, informally",2015,Sunday
13535,2015-06-12,TOG,"Coat, in old slang",2015,Friday
13562,2015-06-13,BRB,"""Putting the phone down for a sec,"" in textspeak",2015,Saturday
13698,2015-06-14,CUSSAT,"Vituperate, informally",2015,Sunday
13691,2015-06-14,COULDA,"Might have, informally",2015,Sunday
13725,2015-06-14,ELROPO,"Cheap smoke, in slang",2015,Sunday
13686,2015-06-14,PIGIT,"Live in squalor, informally",2015,Sunday
13375,2015-06-10,ROOS,"Bipedal Aussies, informally",2015,Wednesday
13823,2015-06-15,ENUF,"Ample, informally",2015,Monday
13769,2015-06-15,TRIG,"Prerequisite for calculus, informally",2015,Monday
13754,2015-06-15,OLDNICK,"The Devil, informally",2015,Monday
8637,2015-04-15,SKEETS,"Clay targets, informally",2015,Wednesday
9465,2015-04-25,SWEATBOX,"Uncomfortably tight spot, informally",2015,Saturday
9375,2015-04-24,FAVES,"Picks above others, informally",2015,Friday
9241,2015-04-22,CADDY,"Luxury car, informally",2015,Wednesday
7671,2015-04-03,PIX,"Some email attachments, informally",2015,Friday
7608,2015-04-03,ONTHEMENU,"Coming up, informally",2015,Friday
7776,2015-04-05,HOLE,"Deficit, informally",2015,Sunday
8335,2015-04-12,GUTBOMBS,"Hard-to-digest food items, in slang",2015,Sunday
8506,2015-04-13,NAG,"Old, worn-out horse, informally",2015,Monday
8421,2015-04-12,AGAME,"Peak performance, informally",2015,Sunday
8464,2015-04-12,LID,"Hat, informally",2015,Sunday
8459,2015-04-12,COVER,"Charge at the door, informally",2015,Sunday
8080,2015-04-08,BEAR,"*Tough test, slangily",2015,Wednesday
10748,2015-05-10,NINER,"Levi's Stadium athlete, informally",2015,Sunday
10759,2015-05-10,BRB,"""Just a minute,"" in texts",2015,Sunday
10538,2015-05-08,HEAT,"Pressure, informally",2015,Friday
10463,2015-05-07,DADECOUNTY,"Miami area, informally",2015,Thursday
10628,2015-05-09,PREPS,"Sets up, informally",2015,Saturday
10576,2015-05-08,COACHK,"Leader of five N.C.A.A. basketball championships for Duke, informally",2015,Friday
11192,2015-05-16,SPANG,"Exactly, informally",2015,Saturday
11346,2015-05-17,SORTA,"Approximately, informally",2015,Sunday
11107,2015-05-15,CHEMO,"Difficult treatment, informally",2015,Friday
9817,2015-04-29,ANDRO,"Mixing male and female characteristics, slangily",2015,Wednesday
9814,2015-04-29,OWNS,"Excels over, in slang",2015,Wednesday
9947,2015-05-01,ANGELDUST,"Phencyclidine, colloquially",2015,Friday
9673,2015-04-27,STRAD,"Precious stringed instrument, informally",2015,Monday
9659,2015-04-27,DRAC,"Transylvanian count, informally",2015,Monday
10248,2015-05-04,SEXED,"School health course, informally",2015,Monday
10362,2015-05-05,IDED,"Named by an informer, informally",2015,Tuesday
9961,2015-05-01,PEC,"Bench press target, informally",2015,Friday
10117,2015-05-03,DRE,"Eminem producer, informally",2015,Sunday
10127,2015-05-03,SPOT,"Lend, slangily",2015,Sunday
50356,2016-08-28,ALUM,"Name on many a college hall, informally",2016,Sunday
50376,2016-08-28,DOPESLAP,"Hit upside the head, in slang",2016,Sunday
50368,2016-08-28,PEC,"Push-up muscle, informally",2016,Sunday
50288,2016-08-28,ONE,"Out of gas, informally",2016,Sunday
50321,2016-08-28,SPOSE,"""What if ...,"" informally",2016,Sunday
51060,2016-09-06,BATH,"Room with a tub, informally",2016,Tuesday
51057,2016-09-05,TEE,"Jockey purchase, informally",2016,Monday
51095,2016-09-06,HATER,"Envious critic, in modern lingo",2016,Tuesday
51091,2016-09-06,ITTY,"Minuscule, informally",2016,Tuesday
51123,2016-09-06,PRELIM,"Qualifying match, informally",2016,Tuesday
50966,2016-09-04,SEARAT,"Pirate, in old slang",2016,Sunday
50870,2016-09-04,OLEMISS,"School in Oxford, informally",2016,Sunday
49564,2016-08-19,THESTATES,"America, informally",2016,Friday
49604,2016-08-20,MEGA,"Very large, informally",2016,Saturday
49751,2016-08-21,SKIES,"Jumps higher than, in sports slang",2016,Sunday
49691,2016-08-21,PALEO,"Alternative regimen to an 84-Down, informally",2016,Sunday
49725,2016-08-21,MINDCANDY,"Light and breezy entertainment, informally",2016,Sunday
49385,2016-08-17,VIBE,"Intangible feeling, informally",2016,Wednesday
49487,2016-08-18,BAGEL,"Zero, in sports slang",2016,Thursday
50141,2016-08-26,EXGOV,"Bill Clinton or George W. Bush, informally",2016,Friday
50237,2016-08-27,STANS,"Set of seven countries, informally",2016,Saturday
49811,2016-08-22,ZIT,"Bit of acne, informally",2016,Monday
49848,2016-08-22,UPTOSPEED,"Fully informed, informally",2016,Monday
52425,2016-09-22,YIPS,"Athlete's sudden loss of ability, informally",2016,Thursday
52587,2016-09-24,DEF,"Cool, in slang",2016,Saturday
52572,2016-09-24,MALT,"Colt 45, e.g., informally",2016,Saturday
52250,2016-09-20,RASTAS,"Dreadlocked ones, informally",2016,Tuesday
52180,2016-09-19,PERV,"Deviant, in slang",2016,Monday
52193,2016-09-19,SEXED,"School health class, informally",2016,Monday
52352,2016-09-21,STJOE,"Pony Express's Missouri terminus, informally",2016,Wednesday
52302,2016-09-20,POOP,"Lowdown, in slang",2016,Tuesday
53097,2016-09-30,SAMS,"BJ's competitor, informally",2016,Friday
52679,2016-09-25,GAS,"Lot of fun, informally",2016,Sunday
51497,2016-09-11,BICEP,"Big feature of Popeye, informally",2016,Sunday
51668,2016-09-13,DIBS,"Rights, informally",2016,Tuesday
51593,2016-09-12,TIL,"Up to, informally",2016,Monday
51578,2016-09-12,LOOIE,"Sergeant's superior, slangily",2016,Monday
51576,2016-09-12,BRIT,"Londoner or Glaswegian, informally",2016,Monday
51621,2016-09-12,ICE,"Diamonds, slangily",2016,Monday
51333,2016-09-09,ZITCOM,"Adolescent program, slangily",2016,Friday
51690,2016-09-13,OTOWN,"Central Florida metropolis, informally",2016,Tuesday
52001,2016-09-17,DUCATS,"Tickets, in slang",2016,Saturday
52061,2016-09-18,GITMO,"U.S. detainment site in Cuba, informally",2016,Sunday
52104,2016-09-18,THEPO-PO,"Cops, in slang",2016,Sunday
51732,2016-09-14,JFK,"""We choose to go to the moon"" speech giver, informally",2016,Wednesday
46883,2016-07-18,SEADOG,"Sailor, informally",2016,Monday
47267,2016-07-23,DELT,"Press target, informally",2016,Saturday
47328,2016-07-24,BIGDIG,"Boston megaproject completed in 2007, informally",2016,Sunday
47019,2016-07-19,BODACIOUS,"Attractive, informally",2016,Tuesday
46982,2016-07-19,EPIC,"Mind-blowing, in modern lingo",2016,Tuesday
47136,2016-07-21,LIZARDS,"Dinosaurs, informally",2016,Thursday
47121,2016-07-21,INAFEW,"Shortly, informally",2016,Thursday
45836,2016-07-05,OLDSEADOG,"Pirate, informally",2016,Tuesday
45855,2016-07-06,GONNA,"About to, informally",2016,Wednesday
45771,2016-07-04,INK,"Newspaper coverage, informally",2016,Monday
45601,2016-07-03,TIX,"Entrance requirements, informally",2016,Sunday
46339,2016-07-11,HOOCH,"Illegal liquor, informally",2016,Monday
46437,2016-07-12,GUNNER,"Overly ambitious student, in slang",2016,Tuesday
46082,2016-07-09,BOHO,"Unconventional and hippielike, informally",2016,Saturday
46205,2016-07-10,ARTOO,"Beeper from ""a long time ago,"" informally",2016,Sunday
46143,2016-07-09,MANI,"Salon job, informally",2016,Saturday
48797,2016-08-10,JAKE,"O.K., in slang",2016,Wednesday
48826,2016-08-10,HEMI,"Powerful engine, informally",2016,Wednesday
48562,2016-08-07,AERO,"Sleek, informally",2016,Sunday
49298,2016-08-15,PBJ,"Homemade sandwich, informally",2016,Monday
49244,2016-08-15,GOTEM,"""They're mine now!,"" informally",2016,Monday
48994,2016-08-12,SAKS,"Lord & Taylor rival, informally",2016,Friday
47850,2016-07-30,INWITH,"Close to, colloquially",2016,Saturday
47517,2016-07-25,LOL,"1-Across, in textspeak",2016,Monday
47515,2016-07-25,TMEN,"Capone's adversaries, informally",2016,Monday
48199,2016-08-02,EMAG,"Online publication, informally",2016,Tuesday
48362,2016-08-05,TEENJEOPARDY,"Event where kids ask lots of questions, informally",2016,Friday
48351,2016-08-04,QEII,"Longest-reigning British monarch, informally",2016,Thursday
48050,2016-07-31,GUV,"Statehouse resident, informally",2016,Sunday
58188,2016-12-01,SKEETS,"Trapshooting targets, informally",2016,Thursday
58207,2016-12-01,OWNS,"Dominates, informally",2016,Thursday
58287,2016-12-02,MERCEDES,"""The best or nothing"" sloganeer, informally",2016,Friday
58325,2016-12-03,ETA,"You may give it when you are running late for a meeting, informally",2016,Saturday
